Date,School,Enrollment,Attendance,Hamburger,Pizza,HotDog,Skipped
2015-09-15,West Lincoln M.S.,435,376,132,129,41,74
2015-09-15,North Jefferson H.S.,452,419,135,137,28,119
2015-09-15,Outer Roosevelt M.S.,181,171,32,2,75,62
2015-09-15,West York High,292,253,142,98,12,1
2015-09-15,West King M.S.,189,155,46,53,42,14
2015-09-15,East York H.S.,459,447,263,84,75,25
2015-09-15,West Lincoln High,266,230,1,108,25,96
2015-09-15,West Jefferson M.S.,233,231,13,4,143,71
2015-09-15,North Lincoln M.S.,474,388,16,26,22,324
2015-09-15,Central Arthur H.S.,497,457,89,184,148,36
2015-09-16,West Lincoln M.S.,435,385,159,158,41,27
2015-09-16,North Jefferson H.S.,452,376,155,184,33,4
2015-09-16,Outer Roosevelt M.S.,181,172,25,25,25,97
2015-09-16,West York High,292,280,130,69,27,54
2015-09-16,West King M.S.,189,159,75,64,14,6
2015-09-16,East York H.S.,459,446,61,88,3,294
2015-09-16,West Lincoln High,266,241,22,48,134,37
2015-09-16,West Jefferson M.S.,233,198,92,85,11,10
2015-09-16,North Lincoln M.S.,474,444,235,149,56,4
2015-09-16,Central Arthur H.S.,497,412,201,162,24,25
2015-09-17,West Lincoln M.S.,435,414,45,159,102,108
2015-09-17,North Jefferson H.S.,452,446,162,110,75,99
2015-09-17,Outer Roosevelt M.S.,181,167,32,49,84,2
2015-09-17,West York High,292,246,16,0,150,80
2015-09-17,West King M.S.,189,184,49,52,56,27
2015-09-17,East York H.S.,459,417,202,132,21,62
2015-09-17,West Lincoln High,266,265,110,32,7,116
2015-09-17,West Jefferson M.S.,233,196,56,32,6,102
2015-09-17,North Lincoln M.S.,474,397,170,132,55,40
2015-09-17,Central Arthur H.S.,497,408,109,143,81,75
2015-09-18,West Lincoln M.S.,435,348,178,161,6,3
2015-09-18,North Jefferson H.S.,452,382,70,105,81,126
2015-09-18,Outer Roosevelt M.S.,181,132,64,1,45,22
2015-09-18,West York High,292,252,63,67,28,94
2015-09-18,West King M.S.,189,152,62,52,28,10
2015-09-18,East York H.S.,459,440,99,68,169,104
2015-09-18,West Lincoln High,266,264,96,41,85,42
2015-09-18,West Jefferson M.S.,233,225,84,91,27,23
2015-09-18,North Lincoln M.S.,474,386,146,0,204,36
2015-09-18,Central Arthur H.S.,497,392,226,148,0,18
2015-09-21,West Lincoln M.S.,435,418,42,175,162,39
2015-09-21,North Jefferson H.S.,452,406,14,69,299,24
2015-09-21,Outer Roosevelt M.S.,181,142,11,51,64,16
2015-09-21,West York High,292,253,15,102,117,19
2015-09-21,West King M.S.,189,169,33,18,75,43
2015-09-21,East York H.S.,459,425,239,54,17,115
2015-09-21,West Lincoln High,266,239,121,97,4,17
2015-09-21,West Jefferson M.S.,233,213,1,66,131,15
2015-09-21,North Lincoln M.S.,474,438,144,128,131,35
2015-09-21,Central Arthur H.S.,497,480,20,233,190,37
2015-09-22,West Lincoln M.S.,435,409,163,12,71,163
2015-09-22,North Jefferson H.S.,452,382,182,72,64,64
2015-09-22,Outer Roosevelt M.S.,181,172,101,5,9,57
2015-09-22,West York High,292,238,36,96,66,40
2015-09-22,West King M.S.,189,184,80,4,4,96
2015-09-22,East York H.S.,459,439,186,87,1,165
2015-09-22,West Lincoln High,266,257,63,1,55,138
2015-09-22,West Jefferson M.S.,233,221,37,92,15,77
2015-09-22,North Lincoln M.S.,474,455,41,162,109,143
2015-09-22,Central Arthur H.S.,497,403,55,75,257,16
2015-09-23,West Lincoln M.S.,435,413,214,51,129,19
2015-09-23,North Jefferson H.S.,452,409,14,33,3,359
2015-09-23,Outer Roosevelt M.S.,181,154,64,55,1,34
2015-09-23,West York High,292,246,56,13,97,80
2015-09-23,West King M.S.,189,173,32,31,73,37
2015-09-23,East York H.S.,459,444,201,113,52,78
2015-09-23,West Lincoln High,266,245,124,100,14,7
2015-09-23,West Jefferson M.S.,233,179,1,66,43,69
2015-09-23,North Lincoln M.S.,474,375,110,19,108,138
2015-09-23,Central Arthur H.S.,497,417,246,53,23,95
2015-09-24,West Lincoln M.S.,435,372,5,120,98,149
2015-09-24,North Jefferson H.S.,452,414,101,117,29,167
2015-09-24,Outer Roosevelt M.S.,181,145,39,64,14,28
2015-09-24,West York High,292,271,20,106,53,92
2015-09-24,West King M.S.,189,146,7,14,39,86
2015-09-24,East York H.S.,459,447,217,115,51,64
2015-09-24,West Lincoln High,266,263,58,52,59,94
2015-09-24,West Jefferson M.S.,233,203,77,14,60,52
2015-09-24,North Lincoln M.S.,474,453,74,102,200,77
2015-09-24,Central Arthur H.S.,497,467,234,165,63,5
2015-09-25,West Lincoln M.S.,435,379,169,103,21,86
2015-09-25,North Jefferson H.S.,452,354,158,130,34,32
2015-09-25,Outer Roosevelt M.S.,181,177,19,5,26,127
2015-09-25,West York High,292,287,145,9,35,98
2015-09-25,West King M.S.,189,144,80,2,21,41
2015-09-25,East York H.S.,459,443,84,34,111,214
2015-09-25,West Lincoln High,266,240,128,99,8,5
2015-09-25,West Jefferson M.S.,233,193,66,15,14,98
2015-09-25,North Lincoln M.S.,474,391,81,140,0,170
2015-09-25,Central Arthur H.S.,497,415,223,68,59,65
2015-09-28,West Lincoln M.S.,435,403,79,120,140,64
2015-09-28,North Jefferson H.S.,452,404,228,145,8,23
2015-09-28,Outer Roosevelt M.S.,181,170,72,63,22,13
2015-09-28,West York High,292,267,28,20,163,56
2015-09-28,West King M.S.,189,166,6,76,46,38
2015-09-28,East York H.S.,459,446,235,123,35,53
2015-09-28,West Lincoln High,266,264,77,111,0,76
2015-09-28,West Jefferson M.S.,233,216,9,44,87,76
2015-09-28,North Lincoln M.S.,474,460,195,132,59,74
2015-09-28,Central Arthur H.S.,497,413,104,113,190,6
2015-09-29,West Lincoln M.S.,435,382,186,72,60,64
2015-09-29,North Jefferson H.S.,452,440,217,71,101,51
2015-09-29,Outer Roosevelt M.S.,181,156,85,10,5,56
2015-09-29,West York High,292,264,150,79,21,14
2015-09-29,West King M.S.,189,155,39,62,0,54
2015-09-29,East York H.S.,459,452,1,102,317,32
2015-09-29,West Lincoln High,266,232,88,35,22,87
2015-09-29,West Jefferson M.S.,233,229,32,85,100,12
2015-09-29,North Lincoln M.S.,474,420,15,129,174,102
2015-09-29,Central Arthur H.S.,497,366,44,77,5,240
2015-09-30,West Lincoln M.S.,435,410,80,164,141,25
2015-09-30,North Jefferson H.S.,452,352,73,61,176,42
2015-09-30,Outer Roosevelt M.S.,181,134,26,24,15,69
2015-09-30,West York High,292,253,130,83,35,5
2015-09-30,West King M.S.,189,156,73,20,27,36
2015-09-30,East York H.S.,459,431,151,44,69,167
2015-09-30,West Lincoln High,266,236,61,97,10,68
2015-09-30,West Jefferson M.S.,233,213,74,84,45,10
2015-09-30,North Lincoln M.S.,474,393,43,7,46,297
2015-09-30,Central Arthur H.S.,497,483,259,21,126,77
2015-10-01,West Lincoln M.S.,435,416,39,35,72,270
2015-10-01,North Jefferson H.S.,452,425,214,17,181,13
2015-10-01,Outer Roosevelt M.S.,181,142,44,62,32,4
2015-10-01,West York High,292,262,0,42,79,141
2015-10-01,West King M.S.,189,143,64,43,26,10
2015-10-01,East York H.S.,459,424,240,178,2,4
2015-10-01,West Lincoln High,266,238,37,20,152,29
2015-10-01,West Jefferson M.S.,233,182,50,60,38,34
2015-10-01,North Lincoln M.S.,474,455,195,16,242,2
2015-10-01,Central Arthur H.S.,497,380,178,142,50,10
2015-10-02,West Lincoln M.S.,435,431,226,33,148,24
2015-10-02,North Jefferson H.S.,452,394,104,73,194,23
2015-10-02,Outer Roosevelt M.S.,181,173,97,27,5,44
2015-10-02,West York High,292,243,120,116,3,4
2015-10-02,West King M.S.,189,165,64,82,9,10
2015-10-02,East York H.S.,459,410,128,0,56,226
2015-10-02,West Lincoln High,266,262,118,109,20,15
2015-10-02,West Jefferson M.S.,233,202,27,40,102,33
2015-10-02,North Lincoln M.S.,474,388,64,30,98,196
2015-10-02,Central Arthur H.S.,497,384,201,116,62,5
2015-10-05,West Lincoln M.S.,435,418,149,74,129,66
2015-10-05,North Jefferson H.S.,452,406,27,35,197,147
2015-10-05,Outer Roosevelt M.S.,181,166,43,23,95,5
2015-10-05,West York High,292,287,55,66,100,66
2015-10-05,West King M.S.,189,152,39,27,47,39
2015-10-05,East York H.S.,459,455,232,80,101,42
2015-10-05,West Lincoln High,266,230,119,65,16,30
2015-10-05,West Jefferson M.S.,233,215,101,36,59,19
2015-10-05,North Lincoln M.S.,474,453,234,3,98,118
2015-10-05,Central Arthur H.S.,497,365,147,94,59,65
2015-10-06,West Lincoln M.S.,435,344,181,130,3,30
2015-10-06,North Jefferson H.S.,452,450,152,122,166,10
2015-10-06,Outer Roosevelt M.S.,181,166,85,0,58,23
2015-10-06,West York High,292,275,101,105,1,68
2015-10-06,West King M.S.,189,175,64,9,92,10
2015-10-06,East York H.S.,459,427,149,6,38,234
2015-10-06,West Lincoln High,266,228,18,112,94,4
2015-10-06,West Jefferson M.S.,233,220,108,28,46,38
2015-10-06,North Lincoln M.S.,474,459,231,6,51,171
2015-10-06,Central Arthur H.S.,497,394,217,77,74,26
2015-10-07,West Lincoln M.S.,435,354,31,160,105,58
2015-10-07,North Jefferson H.S.,452,423,35,34,52,302
2015-10-07,Outer Roosevelt M.S.,181,139,13,30,42,54
2015-10-07,West York High,292,254,44,98,37,75
2015-10-07,West King M.S.,189,145,13,46,74,12
2015-10-07,East York H.S.,459,432,220,145,34,33
2015-10-07,West Lincoln High,266,250,94,10,43,103
2015-10-07,West Jefferson M.S.,233,217,27,58,34,98
2015-10-07,North Lincoln M.S.,474,454,243,202,1,8
2015-10-07,Central Arthur H.S.,497,393,154,150,66,23
2015-10-08,West Lincoln M.S.,435,379,138,3,72,166
2015-10-08,North Jefferson H.S.,452,419,34,115,228,42
2015-10-08,Outer Roosevelt M.S.,181,167,97,32,10,28
2015-10-08,West York High,292,287,131,47,61,48
2015-10-08,West King M.S.,189,149,49,44,3,53
2015-10-08,East York H.S.,459,402,58,100,84,160
2015-10-08,West Lincoln High,266,246,93,27,5,121
2015-10-08,West Jefferson M.S.,233,232,82,75,68,7
2015-10-08,North Lincoln M.S.,474,437,199,195,4,39
2015-10-08,Central Arthur H.S.,497,422,160,151,43,68
2015-10-09,West Lincoln M.S.,435,400,129,141,38,92
2015-10-09,North Jefferson H.S.,452,386,228,36,70,52
2015-10-09,Outer Roosevelt M.S.,181,168,87,51,7,23
2015-10-09,West York High,292,261,122,64,36,39
2015-10-09,West King M.S.,189,179,97,54,9,19
2015-10-09,East York H.S.,459,426,119,164,49,94
2015-10-09,West Lincoln High,266,264,25,95,5,139
2015-10-09,West Jefferson M.S.,233,224,55,31,57,81
2015-10-09,North Lincoln M.S.,474,431,44,200,107,80
2015-10-09,Central Arthur H.S.,497,378,174,141,26,37
2015-10-12,West Lincoln M.S.,435,428,83,129,138,78
2015-10-12,North Jefferson H.S.,452,437,197,201,32,7
2015-10-12,Outer Roosevelt M.S.,181,137,70,46,0,21
2015-10-12,West York High,292,281,30,46,26,179
2015-10-12,West King M.S.,189,186,39,61,56,30
2015-10-12,East York H.S.,459,439,128,97,149,65
2015-10-12,West Lincoln High,266,229,75,99,48,7
2015-10-12,West Jefferson M.S.,233,194,31,45,25,93
2015-10-12,North Lincoln M.S.,474,418,159,194,6,59
2015-10-12,Central Arthur H.S.,497,429,129,119,125,56
2015-10-13,West Lincoln M.S.,435,390,112,100,113,65
2015-10-13,North Jefferson H.S.,452,392,72,101,147,72
2015-10-13,Outer Roosevelt M.S.,181,155,20,22,89,24
2015-10-13,West York High,292,240,117,51,31,41
2015-10-13,West King M.S.,189,181,18,18,97,48
2015-10-13,East York H.S.,459,400,126,6,25,243
2015-10-13,West Lincoln High,266,254,61,77,39,77
2015-10-13,West Jefferson M.S.,233,217,39,65,47,66
2015-10-13,North Lincoln M.S.,474,436,234,158,14,30
2015-10-13,Central Arthur H.S.,497,417,67,28,110,212
2015-10-14,West Lincoln M.S.,435,386,104,21,123,138
2015-10-14,North Jefferson H.S.,452,352,47,139,1,165
2015-10-14,Outer Roosevelt M.S.,181,148,46,70,10,22
2015-10-14,West York High,292,277,134,68,1,74
2015-10-14,West King M.S.,189,145,15,22,93,15
2015-10-14,East York H.S.,459,457,243,70,64,80
2015-10-14,West Lincoln High,266,239,23,38,37,141
2015-10-14,West Jefferson M.S.,233,201,21,55,112,13
2015-10-14,North Lincoln M.S.,474,419,36,85,257,41
2015-10-14,Central Arthur H.S.,497,447,109,27,8,303
2015-10-15,West Lincoln M.S.,435,363,168,32,45,118
2015-10-15,North Jefferson H.S.,452,446,146,135,33,132
2015-10-15,Outer Roosevelt M.S.,181,155,49,56,8,42
2015-10-15,West York High,292,288,154,123,6,5
2015-10-15,West King M.S.,189,167,45,26,31,65
2015-10-15,East York H.S.,459,442,111,58,96,177
2015-10-15,West Lincoln High,266,246,20,101,0,125
2015-10-15,West Jefferson M.S.,233,186,83,43,22,38
2015-10-15,North Lincoln M.S.,474,412,232,55,82,43
2015-10-15,Central Arthur H.S.,497,426,187,125,98,16
2015-10-16,West Lincoln M.S.,435,424,4,66,260,94
2015-10-16,North Jefferson H.S.,452,445,8,204,28,205
2015-10-16,Outer Roosevelt M.S.,181,145,61,0,60,24
2015-10-16,West York High,292,261,120,40,76,25
2015-10-16,West King M.S.,189,172,22,57,7,86
2015-10-16,East York H.S.,459,457,107,154,95,101
2015-10-16,West Lincoln High,266,231,124,62,15,30
2015-10-16,West Jefferson M.S.,233,213,91,5,110,7
2015-10-16,North Lincoln M.S.,474,383,94,28,85,176
2015-10-16,Central Arthur H.S.,497,381,42,72,212,55
2015-10-19,West Lincoln M.S.,435,352,117,23,90,122
2015-10-19,North Jefferson H.S.,452,385,82,62,83,158
2015-10-19,Outer Roosevelt M.S.,181,180,30,58,74,18
2015-10-19,West York High,292,291,108,72,89,22
2015-10-19,West King M.S.,189,162,84,31,1,46
2015-10-19,East York H.S.,459,425,191,188,15,31
2015-10-19,West Lincoln High,266,263,17,25,6,215
2015-10-19,West Jefferson M.S.,233,221,89,70,34,28
2015-10-19,North Lincoln M.S.,474,420,164,64,107,85
2015-10-19,Central Arthur H.S.,497,447,125,171,42,109
2015-10-20,West Lincoln M.S.,435,351,160,157,27,7
2015-10-20,North Jefferson H.S.,452,385,218,77,61,29
2015-10-20,Outer Roosevelt M.S.,181,154,63,55,26,10
2015-10-20,West York High,292,253,42,39,74,98
2015-10-20,West King M.S.,189,177,90,36,22,29
2015-10-20,East York H.S.,459,410,81,135,180,14
2015-10-20,West Lincoln High,266,260,36,103,41,80
2015-10-20,West Jefferson M.S.,233,206,118,45,33,10
2015-10-20,North Lincoln M.S.,474,403,163,166,31,43
2015-10-20,Central Arthur H.S.,497,484,62,101,254,67
2015-10-21,West Lincoln M.S.,435,351,55,113,56,127
2015-10-21,North Jefferson H.S.,452,433,169,4,205,55
2015-10-21,Outer Roosevelt M.S.,181,153,73,67,2,11
2015-10-21,West York High,292,240,58,113,22,47
2015-10-21,West King M.S.,189,165,27,57,71,10
2015-10-21,East York H.S.,459,426,253,101,25,47
2015-10-21,West Lincoln High,266,228,124,30,60,14
2015-10-21,West Jefferson M.S.,233,195,86,42,52,15
2015-10-21,North Lincoln M.S.,474,439,187,199,22,31
2015-10-21,Central Arthur H.S.,497,366,108,53,33,172
2015-10-22,West Lincoln M.S.,435,365,187,127,1,50
2015-10-22,North Jefferson H.S.,452,399,119,92,1,187
2015-10-22,Outer Roosevelt M.S.,181,134,26,37,45,26
2015-10-22,West York High,292,264,43,117,65,39
2015-10-22,West King M.S.,189,157,49,63,1,44
2015-10-22,East York H.S.,459,446,169,130,37,110
2015-10-22,West Lincoln High,266,260,80,32,138,10
2015-10-22,West Jefferson M.S.,233,195,106,68,16,5
2015-10-22,North Lincoln M.S.,474,431,119,16,288,8
2015-10-22,Central Arthur H.S.,497,423,138,62,103,120
2015-10-23,West Lincoln M.S.,435,355,95,75,35,150
2015-10-23,North Jefferson H.S.,452,360,32,108,103,117
2015-10-23,Outer Roosevelt M.S.,181,170,35,10,71,54
2015-10-23,West York High,292,261,0,83,146,32
2015-10-23,West King M.S.,189,145,64,41,10,30
2015-10-23,East York H.S.,459,422,99,141,33,149
2015-10-23,West Lincoln High,266,254,1,39,129,85
2015-10-23,West Jefferson M.S.,233,191,48,33,67,43
2015-10-23,North Lincoln M.S.,474,372,121,78,83,90
2015-10-23,Central Arthur H.S.,497,461,23,226,156,56
2015-10-26,West Lincoln M.S.,435,385,217,108,44,16
2015-10-26,North Jefferson H.S.,452,345,163,55,77,50
2015-10-26,Outer Roosevelt M.S.,181,166,4,12,129,21
2015-10-26,West York High,292,279,120,70,64,25
2015-10-26,West King M.S.,189,161,29,62,57,13
2015-10-26,East York H.S.,459,447,0,128,1,318
2015-10-26,West Lincoln High,266,243,102,27,45,69
2015-10-26,West Jefferson M.S.,233,205,117,28,14,46
2015-10-26,North Lincoln M.S.,474,387,206,20,41,120
2015-10-26,Central Arthur H.S.,497,466,133,20,286,27
2015-10-27,West Lincoln M.S.,435,410,147,49,128,86
2015-10-27,North Jefferson H.S.,452,367,124,66,127,50
2015-10-27,Outer Roosevelt M.S.,181,171,67,29,52,23
2015-10-27,West York High,292,264,95,26,90,53
2015-10-27,West King M.S.,189,165,84,17,18,46
2015-10-27,East York H.S.,459,414,5,202,54,153
2015-10-27,West Lincoln High,266,235,119,8,68,40
2015-10-27,West Jefferson M.S.,233,186,11,64,110,1
2015-10-27,North Lincoln M.S.,474,450,146,46,88,170
2015-10-27,Central Arthur H.S.,497,402,226,140,18,18
2015-10-28,West Lincoln M.S.,435,351,95,99,84,73
2015-10-28,North Jefferson H.S.,452,407,147,121,33,106
2015-10-28,Outer Roosevelt M.S.,181,130,26,1,8,95
2015-10-28,West York High,292,253,138,78,4,33
2015-10-28,West King M.S.,189,159,36,61,20,42
2015-10-28,East York H.S.,459,433,167,93,128,45
2015-10-28,West Lincoln High,266,261,77,2,136,46
2015-10-28,West Jefferson M.S.,233,202,36,2,100,64
2015-10-28,North Lincoln M.S.,474,449,232,63,40,114
2015-10-28,Central Arthur H.S.,497,490,278,117,65,30
2015-10-29,West Lincoln M.S.,435,378,170,167,19,22
2015-10-29,North Jefferson H.S.,452,392,142,10,207,33
2015-10-29,Outer Roosevelt M.S.,181,159,0,1,97,61
2015-10-29,West York High,292,275,69,22,171,13
2015-10-29,West King M.S.,189,159,9,2,43,105
2015-10-29,East York H.S.,459,426,44,169,175,38
2015-10-29,West Lincoln High,266,226,71,110,20,25
2015-10-29,West Jefferson M.S.,233,225,100,91,29,5
2015-10-29,North Lincoln M.S.,474,382,176,13,171,22
2015-10-29,Central Arthur H.S.,497,410,0,78,283,49
2015-10-30,West Lincoln M.S.,435,404,75,107,156,66
2015-10-30,North Jefferson H.S.,452,387,210,35,116,26
2015-10-30,Outer Roosevelt M.S.,181,149,57,4,7,81
2015-10-30,West York High,292,236,27,101,30,78
2015-10-30,West King M.S.,189,149,26,9,85,29
2015-10-30,East York H.S.,459,424,249,60,0,115
2015-10-30,West Lincoln High,266,255,107,84,35,29
2015-10-30,West Jefferson M.S.,233,223,12,83,71,57
2015-10-30,North Lincoln M.S.,474,471,159,195,90,27
2015-10-30,Central Arthur H.S.,497,370,19,165,132,54
2015-11-02,West Lincoln M.S.,435,350,30,85,50,185
2015-11-02,North Jefferson H.S.,452,346,65,124,99,58
2015-11-02,Outer Roosevelt M.S.,181,168,7,50,6,105
2015-11-02,West York High,292,274,121,24,20,109
2015-11-02,West King M.S.,189,179,104,62,6,7
2015-11-02,East York H.S.,459,456,176,127,37,116
2015-11-02,West Lincoln High,266,260,5,110,115,30
2015-11-02,West Jefferson M.S.,233,218,82,24,44,68
2015-11-02,North Lincoln M.S.,474,397,104,43,5,245
2015-11-02,Central Arthur H.S.,497,470,232,153,46,39
2015-11-03,West Lincoln M.S.,435,400,56,161,163,20
2015-11-03,North Jefferson H.S.,452,444,3,110,82,249
2015-11-03,Outer Roosevelt M.S.,181,140,3,21,48,68
2015-11-03,West York High,292,286,131,48,28,79
2015-11-03,West King M.S.,189,145,29,22,78,16
2015-11-03,East York H.S.,459,412,133,104,56,119
2015-11-03,West Lincoln High,266,235,3,64,18,150
2015-11-03,West Jefferson M.S.,233,227,30,95,55,47
2015-11-03,North Lincoln M.S.,474,448,146,78,136,88
2015-11-03,Central Arthur H.S.,497,442,164,173,43,62
2015-11-04,West Lincoln M.S.,435,431,229,138,37,27
2015-11-04,North Jefferson H.S.,452,398,198,106,92,2
2015-11-04,Outer Roosevelt M.S.,181,147,76,54,12,5
2015-11-04,West York High,292,242,114,74,10,44
2015-11-04,West King M.S.,189,153,89,60,2,2
2015-11-04,East York H.S.,459,449,259,81,103,6
2015-11-04,West Lincoln High,266,226,34,96,34,62
2015-11-04,West Jefferson M.S.,233,200,4,85,85,26
2015-11-04,North Lincoln M.S.,474,382,64,41,110,167
2015-11-04,Central Arthur H.S.,497,406,165,67,106,68
2015-11-05,West Lincoln M.S.,435,429,1,183,172,73
2015-11-05,North Jefferson H.S.,452,360,103,173,35,49
2015-11-05,Outer Roosevelt M.S.,181,164,63,23,8,70
2015-11-05,West York High,292,256,42,65,49,100
2015-11-05,West King M.S.,189,184,48,90,23,23
2015-11-05,East York H.S.,459,427,219,21,141,46
2015-11-05,West Lincoln High,266,261,63,128,43,27
2015-11-05,West Jefferson M.S.,233,186,92,27,66,1
2015-11-05,North Lincoln M.S.,474,390,100,35,71,184
2015-11-05,Central Arthur H.S.,497,414,16,164,25,209
2015-11-06,West Lincoln M.S.,435,405,188,30,66,121
2015-11-06,North Jefferson H.S.,452,356,138,41,23,154
2015-11-06,Outer Roosevelt M.S.,181,138,49,34,28,27
2015-11-06,West York High,292,259,89,42,11,117
2015-11-06,West King M.S.,189,165,61,51,5,48
2015-11-06,East York H.S.,459,442,74,149,0,219
2015-11-06,West Lincoln High,266,229,101,4,77,47
2015-11-06,West Jefferson M.S.,233,219,99,50,11,59
2015-11-06,North Lincoln M.S.,474,379,172,184,0,23
2015-11-06,Central Arthur H.S.,497,404,152,11,118,123
2015-11-09,West Lincoln M.S.,435,382,71,50,41,220
2015-11-09,North Jefferson H.S.,452,359,41,22,265,31
2015-11-09,Outer Roosevelt M.S.,181,129,40,50,28,11
2015-11-09,West York High,292,257,62,66,56,73
2015-11-09,West King M.S.,189,184,0,33,105,46
2015-11-09,East York H.S.,459,412,105,63,6,238
2015-11-09,West Lincoln High,266,264,15,51,166,32
2015-11-09,West Jefferson M.S.,233,229,22,88,60,59
2015-11-09,North Lincoln M.S.,474,420,179,178,11,52
2015-11-09,Central Arthur H.S.,497,467,184,193,31,59
2015-11-10,West Lincoln M.S.,435,397,8,145,29,215
2015-11-10,North Jefferson H.S.,452,441,107,141,51,142
2015-11-10,Outer Roosevelt M.S.,181,150,51,50,32,17
2015-11-10,West York High,292,252,26,121,51,54
2015-11-10,West King M.S.,189,151,87,6,4,54
2015-11-10,East York H.S.,459,437,78,141,63,155
2015-11-10,West Lincoln High,266,239,135,95,2,7
2015-11-10,West Jefferson M.S.,233,196,88,32,36,40
