Date,DayOfWeek,School,Enrollment,Attendance,Hamburger,Pizza,HotDog,Skipped
2015-09-04,05-Fri,Central Washington H.S.,238,185,14,76,39,56
2015-09-04,05-Fri,West Truman H.S.,299,243,22,16,15,190
2015-09-04,05-Fri,Central Jefferson M.S.,413,391,102,54,58,177
2015-09-04,05-Fri,Central Roosevelt M.S.,332,293,98,138,24,33
2015-09-04,05-Fri,West Washington M.S.,148,134,68,8,1,57
2015-09-04,05-Fri,North King High,367,346,0,73,86,187
2015-09-04,05-Fri,South Jefferson H.S.,385,378,19,130,67,162
2015-09-04,05-Fri,North York H.S.,280,273,48,80,144,1
2015-09-04,05-Fri,East Roosevelt H.S.,195,166,82,66,12,6
2015-09-04,05-Fri,South Arthur High,414,395,67,127,120,81
2015-09-04,05-Fri,South Truman H.S.,319,301,91,80,90,40
2015-09-04,05-Fri,East Washington H.S.,212,203,86,98,1,18
2015-09-04,05-Fri,East York High,126,110,30,41,18,21
2015-09-04,05-Fri,South Washington High,332,302,117,54,125,6
2015-09-07,01-Mon,North Roosevelt M.S.,485,472,126,69,55,222
2015-09-07,01-Mon,West Lincoln High,213,208,12,25,122,49
2015-09-07,01-Mon,Outer Jefferson H.S.,482,464,183,212,56,13
2015-09-07,01-Mon,Central Washington H.S.,238,194,83,87,10,14
2015-09-07,01-Mon,West Truman H.S.,299,265,49,45,87,84
2015-09-07,01-Mon,Central Jefferson M.S.,413,384,67,111,182,24
2015-09-07,01-Mon,Central Roosevelt M.S.,332,297,50,8,37,202
2015-09-07,01-Mon,West Washington M.S.,148,139,2,33,102,2
2015-09-07,01-Mon,North King High,367,314,66,14,188,46
2015-09-07,01-Mon,South Jefferson H.S.,385,311,114,18,176,3
2015-09-07,01-Mon,North York H.S.,280,256,78,74,77,27
2015-09-07,01-Mon,East Roosevelt H.S.,195,179,77,7,61,34
2015-09-07,01-Mon,South Arthur High,414,334,75,7,154,98
2015-09-07,01-Mon,South Truman H.S.,319,295,90,97,20,88
2015-09-07,01-Mon,East Washington H.S.,212,192,65,62,3,62
2015-09-07,01-Mon,East York High,126,111,53,34,6,18
2015-09-07,01-Mon,South Washington High,332,331,51,0,149,131
2015-09-08,02-Tue,North Roosevelt M.S.,485,438,41,163,75,159
2015-09-08,02-Tue,West Lincoln High,213,203,53,53,57,40
2015-09-08,02-Tue,Outer Jefferson H.S.,482,477,280,169,7,21
2015-09-08,02-Tue,Central Washington H.S.,238,188,32,39,83,34
2015-09-08,02-Tue,West Truman H.S.,299,263,33,82,73,75
2015-09-08,02-Tue,Central Jefferson M.S.,413,350,30,5,28,287
2015-09-08,02-Tue,Central Roosevelt M.S.,332,323,2,7,162,152
2015-09-08,02-Tue,West Washington M.S.,148,110,61,8,21,20
2015-09-08,02-Tue,North King High,367,330,156,54,84,36
2015-09-08,02-Tue,South Jefferson H.S.,385,331,49,148,49,85
2015-09-08,02-Tue,North York H.S.,280,264,74,131,4,55
2015-09-08,02-Tue,East Roosevelt H.S.,195,183,91,46,38,8
2015-09-08,02-Tue,South Arthur High,414,353,156,130,59,8
2015-09-08,02-Tue,South Truman H.S.,319,295,102,101,44,48
2015-09-08,02-Tue,East Washington H.S.,212,208,102,70,15,21
2015-09-08,02-Tue,East York High,126,118,18,24,5,71
2015-09-08,02-Tue,South Washington High,332,250,124,9,11,106
2015-09-09,03-Wed,North Roosevelt M.S.,485,449,195,191,50,13
2015-09-09,03-Wed,West Lincoln High,213,211,100,50,59,2
2015-09-09,03-Wed,Outer Jefferson H.S.,482,450,148,134,103,65
2015-09-09,03-Wed,Central Washington H.S.,238,220,126,24,35,35
2015-09-09,03-Wed,West Truman H.S.,299,261,119,125,10,7
2015-09-09,03-Wed,Central Jefferson M.S.,413,394,190,195,2,7
2015-09-09,03-Wed,Central Roosevelt M.S.,332,329,118,20,110,81
2015-09-09,03-Wed,West Washington M.S.,148,146,77,50,17,2
2015-09-09,03-Wed,North King High,367,319,10,91,87,131
2015-09-09,03-Wed,South Jefferson H.S.,385,333,162,144,11,16
2015-09-09,03-Wed,North York H.S.,280,264,125,12,40,87
2015-09-09,03-Wed,East Roosevelt H.S.,195,182,97,55,9,21
2015-09-09,03-Wed,South Arthur High,414,337,19,130,84,104
2015-09-09,03-Wed,South Truman H.S.,319,300,28,12,156,104
2015-09-09,03-Wed,East Washington H.S.,212,186,7,65,40,74
2015-09-09,03-Wed,East York High,126,110,38,34,6,32
2015-09-09,03-Wed,South Washington High,332,260,149,72,11,28
2015-09-10,04-Thu,North Roosevelt M.S.,485,458,2,62,85,309
2015-09-10,04-Thu,West Lincoln High,213,209,21,164,41,-17
2015-09-10,04-Thu,Outer Jefferson H.S.,482,473,77,34,132,230
2015-09-10,04-Thu,Central Washington H.S.,238,209,115,41,13,40
2015-09-10,04-Thu,West Truman H.S.,299,262,61,60,78,63
2015-09-10,04-Thu,Central Jefferson M.S.,413,371,174,126,65,6
2015-09-10,04-Thu,Central Roosevelt M.S.,332,321,21,137,66,97
2015-09-10,04-Thu,West Washington M.S.,148,107,52,25,10,20
2015-09-10,04-Thu,North King High,367,320,38,142,28,112
2015-09-10,04-Thu,South Jefferson H.S.,385,368,177,88,44,59
2015-09-10,04-Thu,North York H.S.,280,267,127,64,45,31
2015-09-10,04-Thu,East Roosevelt H.S.,195,176,61,33,31,51
2015-09-10,04-Thu,South Arthur High,414,387,205,152,25,5
2015-09-10,04-Thu,South Truman H.S.,319,302,76,94,22,110
2015-09-10,04-Thu,East Washington H.S.,212,196,39,30,19,108
2015-09-10,04-Thu,East York High,126,115,59,8,35,13
2015-09-10,04-Thu,South Washington High,332,330,44,44,222,20
2015-09-11,05-Fri,North Roosevelt M.S.,485,436,208,177,49,2
2015-09-11,05-Fri,West Lincoln High,213,208,0,90,25,93
2015-09-11,05-Fri,Outer Jefferson H.S.,482,448,144,158,80,66
2015-09-11,05-Fri,Central Washington H.S.,238,221,62,36,118,5
2015-09-11,05-Fri,West Truman H.S.,299,258,1,127,44,86
2015-09-11,05-Fri,Central Jefferson M.S.,413,358,113,55,23,167
2015-09-11,05-Fri,Central Roosevelt M.S.,332,313,96,17,138,62
2015-09-11,05-Fri,West Washington M.S.,148,126,54,0,16,56
2015-09-11,05-Fri,North King High,367,326,151,160,10,5
2015-09-11,05-Fri,South Jefferson H.S.,385,309,42,128,34,105
2015-09-11,05-Fri,North York H.S.,280,278,158,19,94,7
2015-09-11,05-Fri,East Roosevelt H.S.,195,185,62,44,76,3
2015-09-11,05-Fri,South Arthur High,414,363,129,127,74,33
2015-09-11,05-Fri,South Truman H.S.,319,288,147,76,37,28
2015-09-11,05-Fri,East Washington H.S.,212,182,43,20,6,113
2015-09-11,05-Fri,East York High,126,105,21,49,32,3
2015-09-11,05-Fri,South Washington High,332,274,148,91,15,20
2015-09-14,01-Mon,North Roosevelt M.S.,485,452,95,16,40,301
2015-09-14,01-Mon,West Lincoln High,213,211,107,33,34,37
2015-09-14,01-Mon,Outer Jefferson H.S.,482,440,97,75,90,178
2015-09-14,01-Mon,Central Washington H.S.,238,204,26,17,62,99
2015-09-14,01-Mon,West Truman H.S.,299,271,114,44,28,85
2015-09-14,01-Mon,Central Jefferson M.S.,413,343,46,37,133,127
2015-09-14,01-Mon,Central Roosevelt M.S.,332,314,35,17,164,98
2015-09-14,01-Mon,West Washington M.S.,148,131,2,29,83,17
2015-09-14,01-Mon,North King High,367,333,182,107,26,18
2015-09-14,01-Mon,South Jefferson H.S.,385,319,35,16,211,57
2015-09-14,01-Mon,North York H.S.,280,272,94,99,27,52
2015-09-14,01-Mon,East Roosevelt H.S.,195,184,90,5,38,51
2015-09-14,01-Mon,South Arthur High,414,403,211,12,69,111
2015-09-14,01-Mon,South Truman H.S.,319,294,120,86,47,41
2015-09-14,01-Mon,East Washington H.S.,212,186,101,40,20,25
2015-09-14,01-Mon,East York High,126,118,13,34,15,56
2015-09-14,01-Mon,South Washington High,332,301,94,39,51,117
2015-09-15,02-Tue,North Roosevelt M.S.,485,472,84,8,90,290
2015-09-15,02-Tue,West Lincoln High,213,209,112,83,2,12
2015-09-15,02-Tue,Outer Jefferson H.S.,482,448,176,83,61,128
2015-09-15,02-Tue,Central Washington H.S.,238,226,65,18,131,12
2015-09-15,02-Tue,West Truman H.S.,299,258,139,39,75,5
2015-09-15,02-Tue,Central Jefferson M.S.,413,388,38,66,63,221
2015-09-15,02-Tue,Central Roosevelt M.S.,332,331,151,114,4,62
2015-09-15,02-Tue,West Washington M.S.,148,108,7,52,26,23
2015-09-15,02-Tue,North King High,367,314,96,82,64,72
2015-09-15,02-Tue,South Jefferson H.S.,385,295,137,93,57,8
2015-09-15,02-Tue,North York H.S.,280,269,17,96,83,73
2015-09-15,02-Tue,East Roosevelt H.S.,195,192,17,42,23,110
2015-09-15,02-Tue,South Arthur High,414,329,142,126,33,28
2015-09-15,02-Tue,South Truman H.S.,319,318,77,40,105,96
2015-09-15,02-Tue,East Washington H.S.,212,187,54,47,61,25
2015-09-15,02-Tue,East York High,126,125,70,44,5,6
2015-09-15,02-Tue,South Washington High,332,323,60,47,78,138
2015-09-16,03-Wed,North Roosevelt M.S.,485,413,157,11,93,152
2015-09-16,03-Wed,West Lincoln High,213,204,105,90,5,4
2015-09-16,03-Wed,Outer Jefferson H.S.,482,452,64,184,199,5
2015-09-16,03-Wed,Central Washington H.S.,238,194,115,8,51,20
2015-09-16,03-Wed,West Truman H.S.,299,290,117,18,56,99
2015-09-16,03-Wed,Central Jefferson M.S.,413,409,5,185,59,160
2015-09-16,03-Wed,Central Roosevelt M.S.,332,296,54,94,128,20
2015-09-16,03-Wed,West Washington M.S.,148,111,10,3,84,14
2015-09-16,03-Wed,North King High,367,329,192,28,55,54
2015-09-16,03-Wed,South Jefferson H.S.,385,349,42,28,58,221
2015-09-16,03-Wed,North York H.S.,280,258,91,73,78,16
2015-09-16,03-Wed,East Roosevelt H.S.,195,173,70,65,16,22
2015-09-16,03-Wed,South Arthur High,414,345,66,170,68,41
2015-09-16,03-Wed,South Truman H.S.,319,317,135,16,73,93
2015-09-16,03-Wed,East Washington H.S.,212,188,17,81,26,64
2015-09-16,03-Wed,East York High,126,106,17,37,44,8
2015-09-16,03-Wed,South Washington High,332,251,124,9,77,41
2015-09-17,04-Thu,North Roosevelt M.S.,485,435,36,146,40,213
2015-09-17,04-Thu,West Lincoln High,213,210,6,82,20,102
2015-09-17,04-Thu,Outer Jefferson H.S.,482,472,50,15,307,100
2015-09-17,04-Thu,Central Washington H.S.,238,196,10,1,183,2
2015-09-17,04-Thu,West Truman H.S.,299,278,164,88,23,3
2015-09-17,04-Thu,Central Jefferson M.S.,413,360,40,116,105,99
2015-09-17,04-Thu,Central Roosevelt M.S.,332,327,13,34,159,121
2015-09-17,04-Thu,West Washington M.S.,148,114,43,10,38,23
2015-09-17,04-Thu,North King High,367,305,139,152,0,14
2015-09-17,04-Thu,South Jefferson H.S.,385,320,115,91,98,16
2015-09-17,04-Thu,North York H.S.,280,279,149,83,31,16
2015-09-17,04-Thu,East Roosevelt H.S.,195,186,40,55,54,37
2015-09-17,04-Thu,South Arthur High,414,331,53,142,98,38
2015-09-17,04-Thu,South Truman H.S.,319,281,99,62,19,101
2015-09-17,04-Thu,East Washington H.S.,212,206,29,29,67,81
2015-09-17,04-Thu,East York High,126,120,14,19,57,30
2015-09-17,04-Thu,South Washington High,332,295,53,38,3,201
2015-09-18,05-Fri,North Roosevelt M.S.,485,476,36,118,262,60
2015-09-18,05-Fri,West Lincoln High,213,204,0,63,40,101
2015-09-18,05-Fri,Outer Jefferson H.S.,482,481,138,182,106,55
2015-09-18,05-Fri,Central Washington H.S.,238,190,105,78,1,6
2015-09-18,05-Fri,West Truman H.S.,299,240,13,9,41,177
2015-09-18,05-Fri,Central Jefferson M.S.,413,378,219,111,15,33
2015-09-18,05-Fri,Central Roosevelt M.S.,332,314,108,121,48,37
2015-09-18,05-Fri,West Washington M.S.,148,114,67,28,2,17
2015-09-18,05-Fri,North King High,367,304,94,110,52,48
2015-09-18,05-Fri,South Jefferson H.S.,385,357,64,61,102,130
2015-09-18,05-Fri,North York H.S.,280,261,5,24,111,121
2015-09-18,05-Fri,East Roosevelt H.S.,195,167,76,44,39,8
2015-09-18,05-Fri,South Arthur High,414,358,105,35,25,193
2015-09-18,05-Fri,South Truman H.S.,319,291,4,57,13,217
2015-09-18,05-Fri,East Washington H.S.,212,193,30,95,32,36
2015-09-18,05-Fri,East York High,126,111,55,44,7,5
2015-09-18,05-Fri,South Washington High,332,305,112,118,32,43
2015-09-21,01-Mon,North Roosevelt M.S.,485,470,133,45,117,175
2015-09-21,01-Mon,West Lincoln High,213,209,108,34,51,16
2015-09-21,01-Mon,Outer Jefferson H.S.,482,481,170,232,28,51
2015-09-21,01-Mon,Central Washington H.S.,238,186,6,6,172,2
2015-09-21,01-Mon,West Truman H.S.,299,280,62,4,109,105
2015-09-21,01-Mon,Central Jefferson M.S.,413,377,105,165,27,80
2015-09-21,01-Mon,Central Roosevelt M.S.,332,318,111,35,26,146
2015-09-21,01-Mon,West Washington M.S.,148,137,61,33,18,25
2015-09-21,01-Mon,North King High,367,319,11,30,190,88
2015-09-21,01-Mon,South Jefferson H.S.,385,370,133,37,38,162
2015-09-21,01-Mon,North York H.S.,280,277,97,115,11,54
2015-09-21,01-Mon,East Roosevelt H.S.,195,183,77,85,15,6
2015-09-21,01-Mon,South Arthur High,414,373,57,94,133,89
2015-09-21,01-Mon,South Truman H.S.,319,284,67,48,91,78
2015-09-21,01-Mon,East Washington H.S.,212,190,0,7,101,82
2015-09-21,01-Mon,East York High,126,120,58,27,28,7
2015-09-21,01-Mon,South Washington High,332,300,179,75,0,46
2015-09-22,02-Tue,North Roosevelt M.S.,485,482,272,104,9,97
2015-09-22,02-Tue,West Lincoln High,213,205,90,68,6,41
2015-09-22,02-Tue,Outer Jefferson H.S.,482,480,112,49,307,12
2015-09-22,02-Tue,Central Washington H.S.,238,198,72,47,53,26
2015-09-22,02-Tue,West Truman H.S.,299,277,35,64,71,107
2015-09-22,02-Tue,Central Jefferson M.S.,413,372,143,105,75,49
2015-09-22,02-Tue,Central Roosevelt M.S.,332,303,118,110,72,3
2015-09-22,02-Tue,West Washington M.S.,148,113,57,9,42,5
2015-09-22,02-Tue,North King High,367,364,78,174,10,102
2015-09-22,02-Tue,South Jefferson H.S.,385,308,169,1,120,18
2015-09-22,02-Tue,North York H.S.,280,256,26,43,20,167
2015-09-22,02-Tue,East Roosevelt H.S.,195,170,69,46,0,55
2015-09-22,02-Tue,South Arthur High,414,358,121,39,125,73
2015-09-22,02-Tue,South Truman H.S.,319,294,101,56,62,75
2015-09-22,02-Tue,East Washington H.S.,212,183,82,45,41,15
2015-09-22,02-Tue,East York High,126,121,55,9,38,19
2015-09-22,02-Tue,South Washington High,332,257,73,103,65,16
2015-09-23,03-Wed,North Roosevelt M.S.,485,465,257,84,74,50
2015-09-23,03-Wed,West Lincoln High,213,207,122,35,24,26
2015-09-23,03-Wed,Outer Jefferson H.S.,482,452,194,118,127,13
2015-09-23,03-Wed,Central Washington H.S.,238,220,23,93,70,34
2015-09-23,03-Wed,West Truman H.S.,299,253,61,116,63,13
2015-09-23,03-Wed,Central Jefferson M.S.,413,385,129,53,62,141
2015-09-23,03-Wed,Central Roosevelt M.S.,332,283,31,45,32,175
2015-09-23,03-Wed,West Washington M.S.,148,142,36,68,7,31
2015-09-23,03-Wed,North King High,367,354,14,100,160,80
2015-09-23,03-Wed,South Jefferson H.S.,385,296,82,92,113,9
2015-09-23,03-Wed,North York H.S.,280,273,136,106,1,30
2015-09-23,03-Wed,East Roosevelt H.S.,195,170,92,62,3,13
2015-09-23,03-Wed,South Arthur High,414,404,121,91,73,119
2015-09-23,03-Wed,South Truman H.S.,319,307,82,65,34,126
2015-09-23,03-Wed,East Washington H.S.,212,209,101,20,59,29
2015-09-23,03-Wed,East York High,126,122,37,51,32,2
2015-09-23,03-Wed,South Washington High,332,263,34,126,52,51
2015-09-24,04-Thu,North Roosevelt M.S.,485,481,285,9,23,164
2015-09-24,04-Thu,West Lincoln High,213,210,5,149,37,19
2015-09-24,04-Thu,Outer Jefferson H.S.,482,467,268,169,10,20
2015-09-24,04-Thu,Central Washington H.S.,238,215,57,78,17,63
2015-09-24,04-Thu,West Truman H.S.,299,261,60,98,53,50
2015-09-24,04-Thu,Central Jefferson M.S.,413,405,79,99,217,10
2015-09-24,04-Thu,Central Roosevelt M.S.,332,297,48,117,60,72
2015-09-24,04-Thu,West Washington M.S.,148,141,21,55,35,30
2015-09-24,04-Thu,North King High,367,323,182,59,55,27
2015-09-24,04-Thu,South Jefferson H.S.,385,351,208,135,4,4
2015-09-24,04-Thu,North York H.S.,280,265,48,6,63,148
2015-09-24,04-Thu,East Roosevelt H.S.,195,169,92,30,9,38
2015-09-24,04-Thu,South Arthur High,414,392,216,138,5,33
2015-09-24,04-Thu,South Truman H.S.,319,290,168,119,0,3
2015-09-24,04-Thu,East Washington H.S.,212,207,2,30,117,58
2015-09-24,04-Thu,East York High,126,123,70,50,1,2
2015-09-24,04-Thu,South Washington High,332,288,156,78,1,53
2015-09-25,05-Fri,North Roosevelt M.S.,485,437,39,186,134,78
2015-09-25,05-Fri,West Lincoln High,213,209,43,93,17,56
2015-09-25,05-Fri,Outer Jefferson H.S.,482,476,190,19,70,197
2015-09-25,05-Fri,Central Washington H.S.,238,236,115,94,2,25
2015-09-25,05-Fri,West Truman H.S.,299,263,102,8,91,62
2015-09-25,05-Fri,Central Jefferson M.S.,413,329,143,125,44,17
2015-09-25,05-Fri,Central Roosevelt M.S.,332,321,39,83,118,81
2015-09-25,05-Fri,West Washington M.S.,148,138,40,51,5,42
2015-09-25,05-Fri,North King High,367,334,60,119,77,78
2015-09-25,05-Fri,South Jefferson H.S.,385,378,57,175,12,134
2015-09-25,05-Fri,North York H.S.,280,267,10,13,221,23
2015-09-25,05-Fri,East Roosevelt H.S.,195,179,23,76,11,69
2015-09-25,05-Fri,South Arthur High,414,333,69,101,12,151
2015-09-25,05-Fri,South Truman H.S.,319,302,134,100,15,53
2015-09-25,05-Fri,East Washington H.S.,212,182,16,16,49,101
2015-09-25,05-Fri,East York High,126,108,25,38,23,22
2015-09-25,05-Fri,South Washington High,332,261,119,94,3,45
2015-09-28,01-Mon,North Roosevelt M.S.,485,404,160,101,45,98
2015-09-28,01-Mon,West Lincoln High,213,212,118,17,6,71
2015-09-28,01-Mon,Outer Jefferson H.S.,482,476,243,26,33,174
2015-09-28,01-Mon,Central Washington H.S.,238,201,109,60,27,5
2015-09-28,01-Mon,West Truman H.S.,299,271,59,61,37,114
2015-09-28,01-Mon,Central Jefferson M.S.,413,410,211,180,13,6
2015-09-28,01-Mon,Central Roosevelt M.S.,332,290,80,134,9,67
2015-09-28,01-Mon,West Washington M.S.,148,133,66,34,7,26
2015-09-28,01-Mon,North King High,367,354,158,91,6,99
2015-09-28,01-Mon,South Jefferson H.S.,385,358,92,96,143,27
2015-09-28,01-Mon,North York H.S.,280,276,85,63,95,33
2015-09-28,01-Mon,East Roosevelt H.S.,195,166,40,67,6,53
2015-09-28,01-Mon,South Arthur High,414,351,16,106,222,7
2015-09-28,01-Mon,South Truman H.S.,319,306,98,12,43,153
2015-09-28,01-Mon,East Washington H.S.,212,186,81,8,71,26
2015-09-28,01-Mon,East York High,126,105,2,41,57,5
2015-09-28,01-Mon,South Washington High,332,271,74,73,116,8
2015-09-29,02-Tue,North Roosevelt M.S.,485,480,199,125,21,135
2015-09-29,02-Tue,West Lincoln High,213,209,97,43,45,24
2015-09-29,02-Tue,Outer Jefferson H.S.,482,465,266,94,88,17
2015-09-29,02-Tue,Central Washington H.S.,238,200,53,61,66,20
2015-09-29,02-Tue,West Truman H.S.,299,295,81,108,81,25
2015-09-29,02-Tue,Central Jefferson M.S.,413,396,135,86,7,168
2015-09-29,02-Tue,Central Roosevelt M.S.,332,306,91,70,33,112
2015-09-29,02-Tue,West Washington M.S.,148,106,26,17,56,7
2015-09-29,02-Tue,North King High,367,311,105,125,37,44
2015-09-29,02-Tue,South Jefferson H.S.,385,362,160,6,92,104
2015-09-29,02-Tue,North York H.S.,280,256,37,95,74,50
2015-09-29,02-Tue,East Roosevelt H.S.,195,171,2,39,21,109
2015-09-29,02-Tue,South Arthur High,414,348,183,107,15,43
2015-09-29,02-Tue,South Truman H.S.,319,301,154,112,27,8
2015-09-29,02-Tue,East Washington H.S.,212,210,5,39,119,47
2015-09-29,02-Tue,East York High,126,115,1,22,56,36
2015-09-29,02-Tue,South Washington High,332,310,85,129,39,57
2015-09-30,03-Wed,North Roosevelt M.S.,485,462,237,52,100,73
2015-09-30,03-Wed,West Lincoln High,213,207,82,24,22,79
2015-09-30,03-Wed,Outer Jefferson H.S.,482,481,246,103,8,124
2015-09-30,03-Wed,Central Washington H.S.,238,232,2,98,61,71
2015-09-30,03-Wed,West Truman H.S.,299,270,123,42,86,19
2015-09-30,03-Wed,Central Jefferson M.S.,413,355,74,151,87,43
2015-09-30,03-Wed,Central Roosevelt M.S.,332,327,19,28,256,24
2015-09-30,03-Wed,West Washington M.S.,148,130,7,21,61,41
2015-09-30,03-Wed,North King High,367,311,89,144,16,62
2015-09-30,03-Wed,South Jefferson H.S.,385,310,108,105,7,90
2015-09-30,03-Wed,North York H.S.,280,264,22,50,185,7
2015-09-30,03-Wed,East Roosevelt H.S.,195,188,6,69,6,107
2015-09-30,03-Wed,South Arthur High,414,372,46,48,0,278
2015-09-30,03-Wed,South Truman H.S.,319,291,58,131,65,37
2015-09-30,03-Wed,East Washington H.S.,212,209,18,12,92,87
2015-09-30,03-Wed,East York High,126,104,37,49,5,13
2015-09-30,03-Wed,South Washington High,332,274,30,26,152,66
2015-10-01,04-Thu,North Roosevelt M.S.,485,460,188,187,12,73
2015-10-01,04-Thu,West Lincoln High,213,202,18,175,43,-34
2015-10-01,04-Thu,Outer Jefferson H.S.,482,439,23,134,52,230
2015-10-01,04-Thu,Central Washington H.S.,238,214,65,15,104,30
2015-10-01,04-Thu,West Truman H.S.,299,281,58,39,86,98
2015-10-01,04-Thu,Central Jefferson M.S.,413,391,193,101,65,32
2015-10-01,04-Thu,Central Roosevelt M.S.,332,316,57,30,28,201
2015-10-01,04-Thu,West Washington M.S.,148,122,10,51,3,58
2015-10-01,04-Thu,North King High,367,305,12,109,127,57
2015-10-01,04-Thu,South Jefferson H.S.,385,355,167,157,19,12
2015-10-01,04-Thu,North York H.S.,280,269,149,90,28,2
2015-10-01,04-Thu,East Roosevelt H.S.,195,170,19,35,57,59
2015-10-01,04-Thu,South Arthur High,414,397,202,0,71,124
2015-10-01,04-Thu,South Truman H.S.,319,307,109,57,95,46
2015-10-01,04-Thu,East Washington H.S.,212,186,38,65,13,70
2015-10-01,04-Thu,East York High,126,122,28,30,35,29
2015-10-01,04-Thu,South Washington High,332,308,151,4,123,30
2015-10-02,05-Fri,North Roosevelt M.S.,485,457,177,166,79,35
2015-10-02,05-Fri,West Lincoln High,213,209,82,74,36,17
2015-10-02,05-Fri,Outer Jefferson H.S.,482,439,205,185,22,27
2015-10-02,05-Fri,Central Washington H.S.,238,200,49,73,41,37
2015-10-02,05-Fri,West Truman H.S.,299,284,54,91,133,6
2015-10-02,05-Fri,Central Jefferson M.S.,413,385,24,123,63,175
2015-10-02,05-Fri,Central Roosevelt M.S.,332,286,82,21,85,98
2015-10-02,05-Fri,West Washington M.S.,148,146,13,51,50,32
2015-10-02,05-Fri,North King High,367,345,107,46,130,62
2015-10-02,05-Fri,South Jefferson H.S.,385,376,216,120,28,12
2015-10-02,05-Fri,North York H.S.,280,263,6,129,16,112
2015-10-02,05-Fri,East Roosevelt H.S.,195,175,29,21,106,19
2015-10-02,05-Fri,South Arthur High,414,351,103,9,155,84
2015-10-02,05-Fri,South Truman H.S.,319,306,177,107,20,2
2015-10-02,05-Fri,East Washington H.S.,212,209,61,46,17,85
2015-10-02,05-Fri,East York High,126,112,31,12,62,7
2015-10-02,05-Fri,South Washington High,332,264,60,17,85,102
2015-10-05,01-Mon,North Roosevelt M.S.,485,457,161,203,3,90
2015-10-05,01-Mon,West Lincoln High,213,204,44,11,77,72
2015-10-05,01-Mon,Outer Jefferson H.S.,482,457,87,174,10,186
2015-10-05,01-Mon,Central Washington H.S.,238,211,2,96,80,33
2015-10-05,01-Mon,West Truman H.S.,299,255,72,45,11,127
2015-10-05,01-Mon,Central Jefferson M.S.,413,412,67,176,7,162
2015-10-05,01-Mon,Central Roosevelt M.S.,332,319,77,96,124,22
2015-10-05,01-Mon,West Washington M.S.,148,118,27,49,9,33
2015-10-05,01-Mon,North King High,367,314,19,80,21,194
2015-10-05,01-Mon,South Jefferson H.S.,385,335,159,149,25,2
2015-10-05,01-Mon,North York H.S.,280,276,135,28,59,54
2015-10-05,01-Mon,East Roosevelt H.S.,195,191,83,57,8,43
2015-10-05,01-Mon,South Arthur High,414,409,216,157,33,3
2015-10-05,01-Mon,South Truman H.S.,319,299,139,85,41,34
2015-10-05,01-Mon,East Washington H.S.,212,201,101,63,2,35
2015-10-05,01-Mon,East York High,126,121,43,31,1,46
